epoch,train_loss,train_top1,train_top3,val_loss,val_top1,val_top3,val_macro_f1,val_weighted_f1,lr,seconds
1,1.4570269747557143,0.5475113122171946,0.8443438914027149,1.2212949225266054,0.9601809954751132,0.9981900452488688,0.9602458661107975,0.9602458661107975,0.00019945218953682734,38.82484759998624
2,1.1331651051119982,0.7447963800904978,0.934841628959276,0.8661502609425541,0.9764705882352941,0.9990950226244344,0.9762753140192153,0.9762753140192153,0.00019781476007338058,68.10617189999903
3,0.911861398209274,0.7809954751131222,0.9529411764705882,0.6251595415141248,0.9882352941176471,0.9990950226244344,0.9882341853670795,0.9882341853670796,0.00019510565162951537,47.62482870000531
4,0.771290156204776,0.8,0.9647058823529412,0.5095869440298814,0.9891402714932127,1.0,0.9891209600376195,0.9891209600376195,0.00019135454576426006,36.87891919998219
5,0.7207274366827572,0.8108597285067873,0.9638009049773756,0.4336550593915568,0.9900452488687783,1.0,0.9900132988470842,0.9900132988470841,0.00018660254037844388,37.52314869998372
6,0.6927873110879061,0.8180995475113122,0.971945701357466,0.4312488352011771,0.9900452488687783,1.0,0.9900180332819246,0.9900180332819247,0.00018090169943749476,37.00294800000847
7,0.7025956145239092,0.8153846153846154,0.9647058823529412,0.4051177568565127,0.9882352941176471,1.0,0.9882034760956013,0.9882034760956014,0.00017431448254773944,36.689630500011845
8,0.6819419106746691,0.8217194570135746,0.9638009049773756,0.45954846925864934,0.9791855203619909,1.0,0.9792795656097532,0.9792795656097534,0.00016691306063588583,37.10653079999611
9,0.6682734174426325,0.8262443438914027,0.9601809954751132,0.38916564419258776,0.9900452488687783,1.0,0.9900538883135859,0.9900538883135859,0.00015877852522924732,36.326272300007986
10,0.6538148164749146,0.8361990950226245,0.9692307692307692,0.406517565142515,0.9936651583710407,1.0,0.9936647136373958,0.9936647136373958,0.00015000000000000001,36.516867700003786
11,0.6387546504784494,0.8479638009049774,0.967420814479638,0.37705366026222437,0.9891402714932127,1.0,0.989180501844207,0.9891805018442069,0.00014067366430758007,36.4913944999862
12,0.6485393565164972,0.8506787330316742,0.9683257918552036,0.37302244205820073,0.9927601809954751,1.0,0.9927601207751824,0.9927601207751823,0.00013090169943749476,36.79236089999904
13,0.6226989646842577,0.8515837104072398,0.9764705882352941,0.3753141679645124,0.9846153846153847,1.0,0.9846530084125845,0.9846530084125844,0.00012079116908177594,36.875213799998164
14,0.6374767917313727,0.8407239819004525,0.9665158371040724,0.3876577137012827,0.9846153846153847,1.0,0.9846309761705699,0.9846309761705698,0.00011045284632676538,36.4944467000023
15,0.6357031009855314,0.8479638009049774,0.9791855203619909,0.33707927141793714,0.9945701357466064,1.0,0.9945615449320672,0.9945615449320672,0.00010000000000000005,41.3408739999868
16,0.6543542338712183,0.8280542986425339,0.9701357466063348,0.3804962314092196,0.9855203619909503,1.0,0.9855621039539619,0.9855621039539619,8.954715367323469e-05,36.70581460001995
17,0.5967515561375683,0.853393665158371,0.9791855203619909,0.36834322397525493,0.9864253393665159,1.0,0.9864588071295005,0.9864588071295004,7.920883091822407e-05,36.97371990000829
18,0.5858464109951554,0.865158371040724,0.9746606334841629,0.3499553604902725,0.9918552036199095,1.0,0.9918749315879378,0.9918749315879377,6.909830056250527e-05,37.99196079999092
19,0.5923481578740599,0.869683257918552,0.967420814479638,0.34286664460039784,0.9855203619909503,1.0,0.9855354869658536,0.9855354869658536,5.9326335692419995e-05,37.79554890000145
20,0.6148206749652845,0.857918552036199,0.971945701357466,0.3929865728136641,0.9819004524886877,0.9990950226244344,0.9819388546974622,0.9819388546974621,5.0000000000000036e-05,37.40216209998471
21,0.5823357937023111,0.8687782805429864,0.9791855203619909,0.37526793372037726,0.9819004524886877,0.9990950226244344,0.9819510132696841,0.9819510132696841,4.122147477075271e-05,36.75035719998414
22,0.5812669970870558,0.8570135746606334,0.9846153846153847,0.3504887864330775,0.9855203619909503,1.0,0.9855347084766288,0.9855347084766289,3.308693936411422e-05,36.808985699986806
23,0.6049763820829435,0.8570135746606334,0.9746606334841629,0.34021977094503547,0.9828054298642533,1.0,0.9826921082272504,0.9826921082272504,2.5685517452260594e-05,36.4686521999829
